n,E,M
500000,-11600.0,0.0098000000000775
500050,-11584.0,0.008400000000077497
500100,-11580.0,0.007800000000077496
500150,-11596.0,0.0098000000000775
500200,-11612.0,0.008000000000077495
500250,-11624.0,0.008200000000077496
500300,-11628.0,0.007200000000077497
500350,-11630.0,0.008000000000077495
500400,-11614.0,0.0062000000000774986
500450,-11616.0,0.007800000000077496
500500,-11600.0,0.009000000000077498
500550,-11588.0,0.008800000000077498
500600,-11592.0,0.007000000000077497
500650,-11558.0,0.007000000000077497
500700,-11556.0,0.007200000000077497
500750,-11536.0,0.008200000000077496
500800,-11538.0,0.0062000000000774986
500850,-11532.0,0.008400000000077497
500900,-11534.0,0.0098000000000775
500950,-11534.0,0.011000000000077503
501000,-11530.0,0.012800000000077508
501050,-11516.0,0.012600000000077508
501100,-11508.0,0.01380000000007751
501150,-11502.0,0.01340000000007751
501200,-11506.0,0.01340000000007751
501250,-11498.0,0.011800000000077505
501300,-11508.0,0.014400000000077512
501350,-11484.0,0.011000000000077503
501400,-11494.0,0.011600000000077505
501450,-11510.0,0.007000000000077497
501500,-11522.0,0.0054000000000775
501550,-11524.0,0.0038000000000775022
501600,-11526.0,0.001000000000077501
501650,-11508.0,0.000600000000077501
501700,-11484.0,-0.000799999999922499
501750,-11478.0,-0.0013999999999224993
501800,-11476.0,-0.0037999999999225004
501850,-11492.0,-0.004999999999922499
501900,-11492.0,-0.004599999999922499
501950,-11486.0,-0.0035999999999225003
502000,-11490.0,-0.0029999999999225
502050,-11480.0,-0.0019999999999224995
502100,-11462.0,-0.0015999999999224994
502150,-11470.0,0.0006000000000775009
502200,-11478.0,7.750099390371745e-14
502250,-11482.0,0.000600000000077501
502300,-11474.0,0.000600000000077501
502350,-11480.0,-0.0007999999999224991
502400,-11486.0,-0.0017999999999224994
502450,-11484.0,-0.0011999999999224992
502500,-11488.0,0.0006000000000775009
502550,-11474.0,0.001200000000077501
502600,-11472.0,0.0014000000000775011
502650,-11502.0,0.000800000000077501
502700,-11492.0,0.0014000000000775011
502750,-11468.0,0.000400000000077501
502800,-11462.0,0.0016000000000775012
502850,-11460.0,0.000200000000077501
502900,-11470.0,0.000600000000077501
502950,-11468.0,0.0006000000000775009
503000,-11452.0,-0.0013999999999224993
503050,-11454.0,7.75008854835002e-14
503100,-11448.0,0.000200000000077501
503150,-11458.0,-0.00019999999992249902
503200,-11446.0,0.000200000000077501
503250,-11472.0,7.750099390371745e-14
503300,-11470.0,-0.000599999999922499
503350,-11474.0,0.000800000000077501
503400,-11484.0,0.000400000000077501
503450,-11502.0,0.0022000000000775015
503500,-11514.0,0.003000000000077502
503550,-11520.0,0.0020000000000775014
503600,-11502.0,0.000400000000077501
503650,-11504.0,0.000200000000077501
503700,-11506.0,0.001000000000077501
503750,-11494.0,0.001200000000077501
