n,E,M
0,-20000,1
50,-20000,1
100,-19992.0,0.9996
150,-19992.0,0.9996
200,-19984.0,0.9992000000000001
250,-19970.0,0.9984000000000002
300,-19966.0,0.9982000000000002
350,-19966.0,0.9982000000000002
400,-19962.0,0.9980000000000002
450,-19958.0,0.9978000000000002
500,-19950.0,0.9974000000000003
550,-19950.0,0.9974000000000003
600,-19950.0,0.9974000000000003
650,-19950.0,0.9974000000000003
700,-19946.0,0.9972000000000003
750,-19942.0,0.9970000000000003
800,-19934.0,0.9966000000000004
850,-19934.0,0.9966000000000004
900,-19926.0,0.9962000000000004
950,-19926.0,0.9962000000000004
1000,-19922.0,0.9960000000000004
1050,-19906.0,0.9952000000000005
1100,-19898.0,0.9948000000000006
1150,-19894.0,0.9946000000000006
1200,-19886.0,0.9942000000000006
1250,-19888.0,0.9944000000000006
1300,-19872.0,0.9936000000000007
1350,-19872.0,0.9936000000000007
1400,-19868.0,0.9934000000000007
1450,-19860.0,0.9930000000000008
1500,-19856.0,0.9928000000000008
1550,-19852.0,0.9926000000000008
1600,-19852.0,0.9926000000000008
1650,-19848.0,0.9924000000000008
1700,-19846.0,0.9922000000000009
1750,-19848.0,0.9924000000000008
1800,-19842.0,0.9920000000000009
1850,-19842.0,0.9920000000000009
1900,-19834.0,0.9916000000000009
1950,-19834.0,0.9916000000000009
2000,-19832.0,0.991400000000001
2050,-19832.0,0.991400000000001
2100,-19828.0,0.991200000000001
2150,-19820.0,0.990800000000001
2200,-19820.0,0.990800000000001
2250,-19818.0,0.990600000000001
2300,-19814.0,0.9904000000000011
2350,-19818.0,0.990600000000001
2400,-19812.0,0.9902000000000011
2450,-19812.0,0.9902000000000011
2500,-19816.0,0.9904000000000011
2550,-19816.0,0.9904000000000011
2600,-19820.0,0.990600000000001
2650,-19820.0,0.990600000000001
2700,-19820.0,0.990600000000001
2750,-19816.0,0.9904000000000011
2800,-19812.0,0.9902000000000011
2850,-19810.0,0.9900000000000011
2900,-19806.0,0.9898000000000011
2950,-19810.0,0.9900000000000011
3000,-19810.0,0.9900000000000011
3050,-19814.0,0.9902000000000011
3100,-19806.0,0.9898000000000011
3150,-19798.0,0.9894000000000012
3200,-19794.0,0.9892000000000012
3250,-19794.0,0.9892000000000012
3300,-19782.0,0.9886000000000013
3350,-19770.0,0.9880000000000013
3400,-19766.0,0.9878000000000013
3450,-19766.0,0.9878000000000013
3500,-19766.0,0.9878000000000013
3550,-19762.0,0.9876000000000014
3600,-19758.0,0.9874000000000014
3650,-19750.0,0.9870000000000014
3700,-19746.0,0.9868000000000015
3750,-19746.0,0.9868000000000015
3800,-19738.0,0.9864000000000015
3850,-19738.0,0.9864000000000015
3900,-19726.0,0.9858000000000016
3950,-19726.0,0.9858000000000016
4000,-19722.0,0.9856000000000016
4050,-19720.0,0.9854000000000016
4100,-19720.0,0.9854000000000016
4150,-19726.0,0.9858000000000016
4200,-19726.0,0.9858000000000016
4250,-19722.0,0.9856000000000016
4300,-19722.0,0.9856000000000016
4350,-19724.0,0.9856000000000016
4400,-19724.0,0.9856000000000016
4450,-19724.0,0.9856000000000016
4500,-19724.0,0.9856000000000016
4550,-19724.0,0.9856000000000016
4600,-19728.0,0.9858000000000016
4650,-19722.0,0.9854000000000016
4700,-19726.0,0.9856000000000016
4750,-19722.0,0.9854000000000016
4800,-19716.0,0.9850000000000017
4850,-19716.0,0.9850000000000017
4900,-19724.0,0.9854000000000016
4950,-19724.0,0.9854000000000016
5000,-19722.0,0.9852000000000016
5050,-19716.0,0.9848000000000017
5100,-19716.0,0.9848000000000017
5150,-19712.0,0.9846000000000017
5200,-19708.0,0.9842000000000017
5250,-19700.0,0.9838000000000018
5300,-19696.0,0.9836000000000018
5350,-19700.0,0.9838000000000018
5400,-19696.0,0.9834000000000018
5450,-19692.0,0.9832000000000019
5500,-19698.0,0.9836000000000018
5550,-19686.0,0.9830000000000019
5600,-19686.0,0.9830000000000019
5650,-19684.0,0.9828000000000019
5700,-19680.0,0.9828000000000019
5750,-19680.0,0.9828000000000019
5800,-19676.0,0.9826000000000019
5850,-19668.0,0.982200000000002
5900,-19656.0,0.981400000000002
5950,-19660.0,0.981600000000002
6000,-19656.0,0.981400000000002
6050,-19648.0,0.9810000000000021
6100,-19648.0,0.9810000000000021
6150,-19644.0,0.9808000000000021
6200,-19646.0,0.9810000000000021
6250,-19638.0,0.9806000000000021
6300,-19644.0,0.9810000000000021
6350,-19644.0,0.9810000000000021
6400,-19636.0,0.9808000000000021
6450,-19630.0,0.9804000000000022
6500,-19634.0,0.9806000000000021
6550,-19634.0,0.9806000000000021
6600,-19630.0,0.9804000000000022
6650,-19632.0,0.9804000000000022
6700,-19628.0,0.9802000000000022
6750,-19624.0,0.9800000000000022
6800,-19626.0,0.9802000000000022
6850,-19620.0,0.9798000000000022
6900,-19616.0,0.9796000000000022
6950,-19616.0,0.9796000000000022
7000,-19614.0,0.9794000000000023
7050,-19606.0,0.9790000000000023
7100,-19602.0,0.9788000000000023
7150,-19592.0,0.9782000000000024
7200,-19586.0,0.9778000000000024
7250,-19582.0,0.9776000000000025
7300,-19598.0,0.9784000000000024
7350,-19594.0,0.9782000000000024
7400,-19588.0,0.9780000000000024
7450,-19582.0,0.9776000000000025
7500,-19582.0,0.9776000000000025
7550,-19576.0,0.9772000000000025
7600,-19576.0,0.9772000000000025
7650,-19568.0,0.9768000000000026
7700,-19568.0,0.9768000000000026
7750,-19562.0,0.9764000000000026
7800,-19558.0,0.9762000000000026
7850,-19558.0,0.9762000000000026
7900,-19566.0,0.9766000000000026
7950,-19562.0,0.9764000000000026
8000,-19566.0,0.9766000000000026
8050,-19558.0,0.9762000000000026
8100,-19554.0,0.9760000000000026
8150,-19550.0,0.9758000000000027
8200,-19550.0,0.9758000000000027
8250,-19556.0,0.9762000000000026
8300,-19564.0,0.9766000000000026
8350,-19564.0,0.9766000000000026
8400,-19562.0,0.9764000000000026
8450,-19554.0,0.9760000000000026
8500,-19558.0,0.9764000000000026
8550,-19558.0,0.9764000000000026
8600,-19552.0,0.9760000000000026
8650,-19546.0,0.9758000000000027
8700,-19546.0,0.9758000000000027
8750,-19548.0,0.9760000000000026
8800,-19554.0,0.9764000000000026
8850,-19554.0,0.9764000000000026
8900,-19550.0,0.9762000000000026
8950,-19550.0,0.9762000000000026
9000,-19554.0,0.9764000000000026
9050,-19550.0,0.9760000000000026
9100,-19546.0,0.9758000000000027
9150,-19550.0,0.9762000000000026
9200,-19550.0,0.9762000000000026
9250,-19550.0,0.9762000000000026
9300,-19550.0,0.9762000000000026
9350,-19556.0,0.9766000000000026
9400,-19546.0,0.9760000000000026
9450,-19542.0,0.9758000000000027
9500,-19536.0,0.9754000000000027
9550,-19540.0,0.9756000000000027
9600,-19540.0,0.9756000000000027
9650,-19534.0,0.9752000000000027
9700,-19526.0,0.9748000000000028
9750,-19532.0,0.9750000000000028
9800,-19528.0,0.9748000000000028
9850,-19524.0,0.9746000000000028
9900,-19536.0,0.9752000000000027
9950,-19544.0,0.9756000000000027
10000,-19542.0,0.9754000000000027
10050,-19540.0,0.9754000000000027
10100,-19544.0,0.9756000000000027
10150,-19532.0,0.9750000000000028
10200,-19526.0,0.9748000000000028
10250,-19526.0,0.9748000000000028
10300,-19526.0,0.9746000000000028
10350,-19530.0,0.9748000000000028
10400,-19524.0,0.9744000000000028
10450,-19524.0,0.9744000000000028
10500,-19520.0,0.9742000000000028
10550,-19518.0,0.9740000000000029
10600,-19514.0,0.9738000000000029
10650,-19510.0,0.9734000000000029
10700,-19510.0,0.973200000000003
10750,-19510.0,0.973200000000003
10800,-19506.0,0.973000000000003
10850,-19506.0,0.973000000000003
10900,-19512.0,0.973200000000003
10950,-19512.0,0.973200000000003
11000,-19510.0,0.973200000000003
11050,-19506.0,0.972800000000003
11100,-19506.0,0.972800000000003
11150,-19506.0,0.972800000000003
11200,-19504.0,0.972800000000003
11250,-19504.0,0.972800000000003
11300,-19506.0,0.973000000000003
11350,-19510.0,0.973200000000003
11400,-19510.0,0.973200000000003
11450,-19498.0,0.972600000000003
11500,-19494.0,0.972400000000003
11550,-19496.0,0.972600000000003
11600,-19496.0,0.972600000000003
11650,-19484.0,0.9720000000000031
11700,-19484.0,0.9720000000000031
11750,-19494.0,0.972600000000003
11800,-19484.0,0.9720000000000031
11850,-19490.0,0.972400000000003
11900,-19484.0,0.9720000000000031
11950,-19482.0,0.9718000000000031
12000,-19480.0,0.9716000000000031
12050,-19480.0,0.9716000000000031
12100,-19474.0,0.9712000000000032
12150,-19474.0,0.9710000000000032
12200,-19482.0,0.9714000000000031
12250,-19478.0,0.9712000000000032
12300,-19476.0,0.9710000000000032
12350,-19474.0,0.9708000000000032
12400,-19470.0,0.9706000000000032
12450,-19466.0,0.9704000000000033
12500,-19468.0,0.9704000000000033
12550,-19462.0,0.9700000000000033
12600,-19464.0,0.9700000000000033
12650,-19464.0,0.9700000000000033
12700,-19458.0,0.9696000000000033
12750,-19454.0,0.9694000000000034
12800,-19448.0,0.9690000000000034
12850,-19452.0,0.9692000000000034
12900,-19452.0,0.9692000000000034
12950,-19450.0,0.9690000000000034
13000,-19450.0,0.9690000000000034
13050,-19446.0,0.9688000000000034
13100,-19438.0,0.9684000000000035
13150,-19434.0,0.9682000000000035
13200,-19430.0,0.9680000000000035
13250,-19422.0,0.9676000000000036
13300,-19420.0,0.9676000000000036
13350,-19416.0,0.9674000000000036
13400,-19420.0,0.9678000000000035
