n,E,M
0,-20000,1
50,-19860.0,0.9930000000000008
100,-19726.0,0.9862000000000015
150,-19586.0,0.9792000000000023
200,-19476.0,0.9736000000000029
250,-19354.0,0.9674000000000036
300,-19222.0,0.9604000000000044
350,-19108.0,0.954600000000005
400,-19010.0,0.9492000000000056
450,-18912.0,0.9436000000000062
500,-18800.0,0.9374000000000069
550,-18682.0,0.9312000000000076
600,-18564.0,0.9250000000000083
650,-18462.0,0.9196000000000089
700,-18330.0,0.9124000000000096
750,-18220.0,0.9068000000000103
800,-18102.0,0.900000000000011
850,-17984.0,0.8936000000000117
900,-17924.0,0.8898000000000121
950,-17824.0,0.8836000000000128
1000,-17726.0,0.8778000000000135
1050,-17636.0,0.872600000000014
1100,-17550.0,0.8674000000000146
1150,-17454.0,0.8622000000000152
1200,-17330.0,0.854800000000016
1250,-17232.0,0.8490000000000166
1300,-17130.0,0.8426000000000173
1350,-17048.0,0.8372000000000179
1400,-16944.0,0.8306000000000187
1450,-16852.0,0.8246000000000193
1500,-16762.0,0.81860000000002
1550,-16678.0,0.8128000000000206
1600,-16592.0,0.8076000000000212
1650,-16514.0,0.8026000000000217
1700,-16424.0,0.7962000000000224
1750,-16352.0,0.7906000000000231
1800,-16266.0,0.7846000000000237
1850,-16192.0,0.7792000000000243
1900,-16128.0,0.7744000000000248
1950,-16014.0,0.7674000000000256
2000,-15940.0,0.7618000000000262
2050,-15890.0,0.7586000000000266
2100,-15822.0,0.7532000000000272
2150,-15776.0,0.7502000000000275
2200,-15694.0,0.7446000000000281
2250,-15620.0,0.7400000000000286
2300,-15578.0,0.7372000000000289
2350,-15534.0,0.7336000000000293
2400,-15478.0,0.7296000000000298
2450,-15412.0,0.7248000000000303
2500,-15342.0,0.7194000000000309
2550,-15282.0,0.7140000000000315
2600,-15240.0,0.709200000000032
2650,-15174.0,0.7034000000000327
2700,-15122.0,0.6988000000000332
2750,-15032.0,0.6936000000000337
2800,-14968.0,0.6888000000000343
2850,-14932.0,0.6854000000000346
2900,-14904.0,0.682400000000035
2950,-14850.0,0.6788000000000354
3000,-14812.0,0.6752000000000358
3050,-14758.0,0.6710000000000362
3100,-14686.0,0.6652000000000369
3150,-14658.0,0.6620000000000372
3200,-14612.0,0.6574000000000377
3250,-14546.0,0.6526000000000383
3300,-14528.0,0.6500000000000385
3350,-14444.0,0.6438000000000392
3400,-14380.0,0.6394000000000397
3450,-14328.0,0.6346000000000402
3500,-14274.0,0.6306000000000407
3550,-14224.0,0.6264000000000411
3600,-14198.0,0.6242000000000414
3650,-14154.0,0.6192000000000419
3700,-14070.0,0.6128000000000426
3750,-14028.0,0.609400000000043
3800,-13960.0,0.6036000000000437
3850,-13904.0,0.5982000000000443
3900,-13864.0,0.5944000000000447
3950,-13830.0,0.5906000000000451
4000,-13752.0,0.5846000000000457
4050,-13698.0,0.5798000000000463
4100,-13632.0,0.5746000000000469
4150,-13612.0,0.5712000000000472
4200,-13564.0,0.5672000000000477
4250,-13522.0,0.5632000000000481
4300,-13496.0,0.5592000000000485
4350,-13446.0,0.5562000000000489
4400,-13396.0,0.5520000000000493
4450,-13332.0,0.5476000000000498
4500,-13284.0,0.5436000000000503
4550,-13226.0,0.5384000000000508
4600,-13188.0,0.5348000000000512
4650,-13166.0,0.5306000000000517
4700,-13144.0,0.5284000000000519
4750,-13136.0,0.5256000000000522
4800,-13086.0,0.5212000000000527
4850,-13054.0,0.5164000000000533
4900,-13020.0,0.5108000000000539
4950,-13010.0,0.5078000000000542
5000,-12982.0,0.5038000000000546
5050,-12948.0,0.5018000000000549
5100,-12906.0,0.4968000000000554
5150,-12852.0,0.49280000000005586
5200,-12808.0,0.48820000000005637
5250,-12768.0,0.4842000000000568
5300,-12760.0,0.4816000000000571
5350,-12722.0,0.47920000000005736
5400,-12688.0,0.47660000000005764
5450,-12664.0,0.47380000000005795
5500,-12622.0,0.47100000000005826
5550,-12584.0,0.46740000000005866
5600,-12578.0,0.4654000000000589
5650,-12542.0,0.4624000000000592
5700,-12492.0,0.4590000000000596
5750,-12438.0,0.4536000000000602
5800,-12456.0,0.4532000000000602
5850,-12424.0,0.4498000000000606
5900,-12416.0,0.44660000000006095
5950,-12388.0,0.44460000000006117
6000,-12376.0,0.44400000000006123
6050,-12368.0,0.44200000000006145
6100,-12354.0,0.4396000000000617
6150,-12344.0,0.4382000000000619
6200,-12342.0,0.43480000000006225
6250,-12306.0,0.4314000000000626
6300,-12260.0,0.42660000000006315
6350,-12250.0,0.4242000000000634
6400,-12250.0,0.4226000000000636
6450,-12224.0,0.41920000000006397
6500,-12208.0,0.4164000000000643
6550,-12182.0,0.4136000000000646
6600,-12148.0,0.41020000000006496
6650,-12156.0,0.4064000000000654
6700,-12128.0,0.4018000000000659
6750,-12086.0,0.3980000000000663
6800,-12054.0,0.39560000000006657
6850,-12036.0,0.39320000000006683
6900,-11980.0,0.3898000000000672
6950,-11960.0,0.3862000000000676
7000,-11960.0,0.3844000000000678
7050,-11942.0,0.3808000000000682
7100,-11940.0,0.3810000000000682
7150,-11950.0,0.3800000000000683
7200,-11938.0,0.3782000000000685
7250,-11906.0,0.37660000000006866
7300,-11872.0,0.3716000000000692
7350,-11826.0,0.36740000000006967
7400,-11818.0,0.3660000000000698
7450,-11808.0,0.3654000000000699
7500,-11798.0,0.3624000000000702
7550,-11762.0,0.3590000000000706
7600,-11740.0,0.35560000000007097
7650,-11696.0,0.35220000000007134
7700,-11670.0,0.3508000000000715
