n,E,M
1000000,-13954.0,-0.021999999999922477
1000050,-13940.0,-0.01999999999992249
1000100,-13936.0,-0.019599999999922492
1000150,-13946.0,-0.02019999999992249
1000200,-13956.0,-0.021199999999922482
1000250,-13966.0,-0.021199999999922482
1000300,-13956.0,-0.02019999999992249
1000350,-13958.0,-0.020599999999922486
1000400,-13956.0,-0.021199999999922482
1000450,-13950.0,-0.01999999999992249
1000500,-13932.0,-0.020999999999922483
1000550,-13940.0,-0.019399999999922493
1000600,-13934.0,-0.01999999999992249
1000650,-13922.0,-0.01999999999992249
1000700,-13938.0,-0.01999999999992249
1000750,-13920.0,-0.020799999999922485
1000800,-13914.0,-0.021199999999922482
1000850,-13922.0,-0.020799999999922485
1000900,-13932.0,-0.02159999999992248
1000950,-13928.0,-0.022199999999922476
1001000,-13926.0,-0.021199999999922482
1001050,-13928.0,-0.01979999999992249
1001100,-13916.0,-0.01979999999992249
1001150,-13926.0,-0.018599999999922498
1001200,-13922.0,-0.017599999999922504
1001250,-13916.0,-0.017599999999922504
1001300,-13918.0,-0.016999999999922508
1001350,-13916.0,-0.014999999999922513
1001400,-13932.0,-0.01639999999992251
1001450,-13914.0,-0.016199999999922512
1001500,-13914.0,-0.01659999999992251
1001550,-13904.0,-0.01679999999992251
1001600,-13906.0,-0.017399999999922505
1001650,-13902.0,-0.017199999999922506
1001700,-13902.0,-0.016999999999922508
1001750,-13912.0,-0.018799999999922497
1001800,-13930.0,-0.017599999999922504
1001850,-13924.0,-0.017199999999922506
1001900,-13936.0,-0.017799999999922503
1001950,-13948.0,-0.0183999999999225
1002000,-13948.0,-0.02019999999992249
1002050,-13952.0,-0.020599999999922486
1002100,-13958.0,-0.02339999999992247
1002150,-13964.0,-0.02339999999992247
1002200,-13970.0,-0.022599999999922474
1002250,-13968.0,-0.022199999999922476
1002300,-13958.0,-0.022399999999922475
1002350,-13952.0,-0.020999999999922483
1002400,-13968.0,-0.020599999999922486
1002450,-13966.0,-0.019199999999922494
1002500,-13972.0,-0.019199999999922494
1002550,-13976.0,-0.0181999999999225
1002600,-13970.0,-0.0181999999999225
1002650,-13976.0,-0.018999999999922496
1002700,-13986.0,-0.017799999999922503
1002750,-13972.0,-0.018599999999922498
1002800,-13968.0,-0.0179999999999225
1002850,-13958.0,-0.0183999999999225
1002900,-13954.0,-0.017599999999922504
1002950,-13958.0,-0.0181999999999225
1003000,-13960.0,-0.017399999999922505
1003050,-13970.0,-0.015799999999922515
1003100,-13974.0,-0.01639999999992251
1003150,-13980.0,-0.017399999999922505
1003200,-13996.0,-0.0183999999999225
1003250,-13988.0,-0.0183999999999225
1003300,-13990.0,-0.01659999999992251
1003350,-13988.0,-0.01659999999992251
1003400,-13994.0,-0.01639999999992251
1003450,-14002.0,-0.0181999999999225
1003500,-13994.0,-0.018599999999922498
1003550,-14002.0,-0.0181999999999225
1003600,-13998.0,-0.0181999999999225
1003650,-14010.0,-0.018999999999922496
1003700,-14006.0,-0.018599999999922498
1003750,-14004.0,-0.01679999999992251
1003800,-14008.0,-0.0179999999999225
1003850,-14018.0,-0.020599999999922486
1003900,-14026.0,-0.01999999999992249
1003950,-14016.0,-0.01979999999992249
1004000,-14030.0,-0.020599999999922486
1004050,-14032.0,-0.02019999999992249
1004100,-14036.0,-0.019399999999922493
